,activity_type,acc_x,acc_y,acc_z
475,Still,996,-24,38
476,Still,997,-23,37
477,Still,997,-24,37
478,Still,996,-23,37
479,Still,996,-23,37
480,Still,996,-24,38
481,Still,997,-24,37
482,Still,996,-23,36
483,Still,996,-23,38
484,Still,996,-23,38
485,Still,996,-23,38
486,Still,996,-24,38
487,Still,996,-24,37
488,Still,996,-24,37
489,Still,998,-23,38
490,Still,995,-25,37
491,Still,996,-24,37
492,Still,997,-22,38
493,Still,997,-22,38
494,Still,997,-24,37
495,Still,996,-22,38
496,Still,996,-23,37
497,Still,996,-23,37
498,Still,997,-24,37
499,Still,996,-23,37
500,Still,996,-24,37
501,Still,996,-24,37
502,Still,996,-24,38
503,Still,996,-24,37
504,Still,996,-23,37
505,Still,996,-23,37
506,Still,996,-23,37
507,Still,996,-23,37
508,Still,996,-24,37
509,Still,997,-24,37
510,Still,997,-24,37
511,Still,997,-24,38
512,Still,997,-24,37
513,Still,997,-23,38
514,Still,997,-24,37
515,Still,997,-24,37
516,Still,996,-24,37
517,Still,996,-24,37
518,Still,996,-24,38
519,Still,996,-24,38
520,Still,997,-24,37
521,Still,996,-24,38
522,Still,998,-22,38
523,Still,995,-28,37
524,Still,995,-28,37
525,Still,999,-18,37
526,Still,994,-29,37
527,Still,997,-29,35
528,Still,997,-29,35
529,Still,997,-16,41
530,Still,995,-25,37
531,Still,997,-23,38
532,Still,996,-24,38
533,Still,996,-24,38
534,Still,998,-22,38
535,Still,996,-25,35
536,Still,996,-25,38
537,Still,996,-25,38
538,Still,995,-24,37
539,Still,996,-24,38
540,Still,996,-24,37
541,Still,996,-24,37
542,Still,997,-24,37
543,Still,996,-24,38
544,Still,997,-24,37
545,Still,997,-23,37
546,Still,997,-23,37
547,Still,996,-24,38
548,Still,997,-23,38
549,Still,997,-24,38
550,Still,997,-24,38
551,Still,996,-24,37
552,Still,996,-24,38
553,Still,996,-24,37
554,Still,997,-24,37
555,Still,997,-24,37
556,Still,996,-24,37
557,Still,996,-24,37
558,Still,997,-23,37
559,Still,997,-23,37
560,Still,996,-24,38
561,Still,996,-24,38
562,Still,996,-24,38
563,Still,997,-24,37
564,Still,997,-24,37
565,Still,996,-25,38
566,Still,997,-24,38
567,Still,996,-23,37
568,Still,996,-23,37
569,Still,997,-24,38
570,Still,997,-24,38
571,Still,996,-24,38
572,Still,997,-24,37
573,Still,997,-24,37
574,Still,997,-24,38
575,Still,996,-24,38
576,Still,996,-24,37
577,Still,996,-24,37
578,Still,996,-24,38
579,Still,997,-24,37
580,Still,996,-23,37
581,Still,996,-23,37
582,Still,996,-24,37
583,Still,996,-24,37
584,Still,996,-24,37
585,Still,996,-25,37
586,Still,996,-25,37
587,Still,997,-23,38
588,Still,996,-24,39
589,Still,996,-24,38
590,Still,996,-24,38
591,Still,996,-23,37
592,Still,997,-24,37
593,Still,997,-25,38
594,Still,996,-24,37
595,Still,996,-24,37
596,Still,996,-23,38
597,Still,997,-24,38
598,Still,996,-24,37
599,Still,996,-24,37
600,Still,996,-24,38
601,Still,996,-23,37
602,Still,996,-24,38
603,Still,996,-24,38
604,Still,996,-24,38
605,Still,997,-24,37
606,Still,996,-23,37
607,Still,997,-24,38
608,Still,997,-24,38
609,Still,996,-24,37
610,Still,996,-24,38
611,Still,996,-25,37
612,Still,997,-24,37
613,Still,997,-24,37
614,Still,996,-23,38
615,Still,997,-24,38
616,Still,996,-24,37
617,Still,996,-24,37
618,Still,996,-24,38
619,Still,996,-24,38
620,Still,997,-23,37
621,Still,996,-24,37
622,Still,996,-24,37
623,Still,996,-24,37
624,Still,997,-23,38
625,Still,996,-24,38
626,Still,996,-24,38
627,Still,997,-24,37
628,Still,997,-24,37
629,Still,996,-23,37
630,Still,996,-23,37
631,Still,997,-24,37
632,Still,996,-24,37
633,Still,997,-24,37
634,Still,996,-24,37
635,Still,996,-24,37
636,Still,996,-24,38
637,Still,996,-24,38
638,Still,996,-24,37
639,Still,996,-24,37
640,Still,997,-24,37
641,Still,997,-23,37
